,REVENUE,HWT_SUBSCRIBER,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CUSTOMER_SERVICE_TICKETS_CNT,PRODUCT_CATEGORIES_VIEWED,SITE_VISIT_TIME_PER_VISIT_AVG,MOBILE_REGISTRATION,MEALS_CANCEL_BEFORE_NOON,MEALS_CANCEL_AFTER_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,MOBILE_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,ORDERS_DELIVERED_BEFORE_DELIVERY_CNT,ORDERS_DELIVERED_AFTER_DELIVERY_CNT,PACKAGE_ROOM_AT_CUSTOMER,FRIDGE_LOCKER_IN_PACKAGE_ROOM,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,SECONDS_WATCHING_PREP_VID_AVG,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED_CNT,MEAL_RATING_MEDIAN,SITE_CLICKS_PER_VISIT_AVG,PHOTOS_VIEWED_COUNT,missing_FAMILY_NAME,fe_MEAL_CHOICE_SPECIFICITY,fe_SITE_CLICK_RATE,fe_SUBSCRIPTIONS_SYNERGY,fe_CUSTOMER_COMPANY,fe_CUSTOMER_DOMAIN,fe_ONLY_HWT_CUSTOMER,fe_WP_INACTIVE_SUB,fe_WP_BASIC_SUB,fe_WP_PREMIUM_SUB
61,1789.0,1,55,2,6,10,72.0,1,1,0,0,6,1,11,0,5,1,0,80.0,187.7,6,1,3,15,0,0,0.03636363636363636,0.20833333333333331,1,cisco,professional_domain,0,1,0,0
63,1280.0,1,100,7,4,9,169.99,1,0,0,0,4,1,12,0,1,0,0,80.0,91.4,2,0,2,17,0,0,0.07,0.10000588269898228,1,protonmail,personal_domain,0,1,0,0
64,1210.0,1,46,3,6,4,90.54,1,2,1,0,6,2,5,3,2,0,0,70.0,95.2,2,1,2,17,0,0,0.06521739130434782,0.1877623149988955,1,gmail,personal_domain,0,1,0,0
66,1120.0,1,28,7,5,9,43.75,1,2,2,0,5,2,11,0,3,1,0,80.0,80.8,3,0,2,15,0,0,0.25,0.3428571428571429,1,pg,professional_domain,0,0,1,0
67,1170.0,1,34,3,7,3,68.0,1,1,0,1,6,2,48,0,3,1,1,90.0,134.8,3,1,2,17,0,0,0.08823529411764706,0.25,0,pg,professional_domain,0,0,1,0
69,3112.5,1,91,8,7,8,106.4,1,0,0,1,6,1,2,0,0,1,0,70.0,279.2,6,2,3,11,0,0,0.08791208791208792,0.10338345864661654,1,gmail,personal_domain,0,1,0,0
72,2565.0,1,67,6,8,5,91.75,1,1,0,1,6,2,12,0,10,1,1,90.0,203.4,6,0,3,15,573,0,0.08955223880597014,0.16348773841961853,1,yahoo,personal_domain,0,1,0,0
74,1300.0,1,64,7,6,4,112.29,1,2,0,1,5,1,2,0,3,0,0,80.0,128.7,4,0,3,15,0,0,0.109375,0.13358268768367618,1,yahoo,personal_domain,0,1,0,0
76,2126.25,1,51,1,5,3,51.0,1,1,0,1,6,2,3,0,9,0,0,80.0,139.2,3,1,3,15,180,0,0.0196078431372549,0.29411764705882354,1,merck,professional_domain,0,1,0,0
77,1600.0,1,50,9,5,3,96.0,1,0,0,0,5,1,47,7,4,0,0,90.0,111.6,3,0,3,12,261,0,0.18,0.125,0,pg,professional_domain,0,0,1,0
80,1129.0,1,46,5,7,6,80.84,0,0,0,1,5,1,11,8,4,0,0,80.0,103.6,3,0,2,18,88,0,0.10869565217391304,0.2226620484908461,1,protonmail,personal_domain,0,0,0,1
81,1150.0,1,40,8,5,1,107.0,1,1,1,1,5,2,3,0,1,0,0,80.0,86.4,3,1,1,17,0,0,0.2,0.1588785046728972,1,travelers,professional_domain,0,1,0,0
83,2625.0,1,49,4,5,10,146.78,0,1,0,1,6,2,4,1,4,1,1,70.0,164.0,5,1,3,13,72,0,0.08163265306122447,0.0885679247853931,1,yahoo,personal_domain,0,1,0,0
84,1560.0,1,142,7,8,2,76.3,1,0,0,1,5,2,11,0,0,0,0,80.0,102.6,3,0,3,12,0,0,0.04929577464788732,0.15727391874180865,1,nike,professional_domain,0,1,0,0
85,2745.0,1,57,3,7,2,106.35,1,3,0,1,6,1,13,0,9,0,0,70.0,166.8,6,1,3,11,171,0,0.05263157894736842,0.10343206393982136,1,yahoo,personal_domain,0,0,0,1
86,3127.5,1,124,3,5,2,109.0,1,0,0,1,5,2,13,0,0,0,0,80.0,264.0,6,1,3,14,256,0,0.024193548387096774,0.12844036697247707,1,goldmansacs,professional_domain,0,1,0,0
87,2012.5,1,30,1,5,10,58.0,1,3,1,0,6,3,10,1,3,0,0,90.0,163.9,4,0,2,15,0,0,0.03333333333333333,0.25862068965517243,1,gmail,personal_domain,0,0,0,1
88,3997.5,1,69,2,10,3,68.58,0,3,0,1,5,1,52,3,3,0,0,80.0,175.2,4,1,3,13,412,0,0.028985507246376805,0.18955963837853598,0,ibm,professional_domain,0,0,1,0
90,3078.25,1,41,1,7,2,50.0,1,2,0,1,6,1,6,5,1,0,0,70.0,165.5,5,1,3,11,0,0,0.024390243902439025,0.22,1,protonmail,personal_domain,0,1,0,0
91,1220.0,1,44,3,9,7,51.5,1,0,0,0,6,1,9,0,9,1,0,90.0,235.8,6,0,1,17,0,0,0.06818181818181818,0.3300970873786408,1,verizon,professional_domain,0,0,0,1
93,600.0,1,12,2,11,4,54.2,1,2,0,1,6,2,4,2,2,1,0,80.0,80.0,2,1,1,18,0,0,0.16666666666666666,0.33210332103321033,1,gmail,personal_domain,0,0,0,1
94,945.0,1,14,3,11,3,80.27,1,6,2,1,6,1,6,1,2,1,0,80.0,170.1,6,0,1,15,0,0,0.21428571428571427,0.18686931605830326,1,gmail,personal_domain,0,0,1,0
95,1520.0,1,103,4,5,7,80.0,1,1,1,0,6,2,39,3,4,0,0,80.0,112.6,3,0,3,14,0,0,0.03883495145631068,0.175,0,protonmail,personal_domain,0,0,1,0
96,2835.0,1,50,8,6,5,129.22,1,7,0,1,5,2,26,1,3,1,1,80.0,214.9,4,1,3,14,0,0,0.16,0.10834236186348864,0,gmail,personal_domain,0,0,1,0
97,1725.0,1,64,6,6,3,32.3,1,3,0,0,6,1,2,0,1,1,1,90.0,147.1,4,0,3,15,894,1,0.09375,0.4643962848297214,1,protonmail,personal_domain,0,1,0,0
98,1335.0,1,51,4,5,5,155.23,1,1,0,0,5,2,10,2,2,0,0,90.0,86.4,3,1,2,16,0,0,0.0784313725490196,0.1030728596276493,1,protonmail,personal_domain,0,1,0,0
99,1260.0,1,35,5,4,1,85.0,1,0,0,1,5,2,1,0,2,0,0,70.0,88.2,2,0,3,12,0,0,0.14285714285714285,0.1411764705882353,1,gmail,personal_domain,0,1,0,0
100,1330.0,1,38,6,5,4,57.2,1,1,0,1,6,1,8,0,9,0,0,90.0,157.3,4,0,2,15,0,0,0.15789473684210525,0.26223776223776224,1,jpmorgan,professional_domain,0,0,0,1
101,800.0,1,14,6,12,2,47.08,1,0,0,1,5,1,10,3,6,0,0,70.0,74.7,2,0,2,17,0,0,0.42857142857142855,0.3610875106202209,1,protonmail,personal_domain,0,0,1,0
102,6150.0,1,157,7,10,10,116.91,1,0,0,1,6,1,2,0,0,0,0,70.0,196.6,4,1,4,11,754,0,0.044585987261146494,0.09408947053288856,1,protonmail,personal_domain,0,1,0,0
104,1800.0,1,166,8,4,10,90.37,1,5,2,1,5,1,31,0,2,1,1,70.0,171.4,5,1,3,12,0,0,0.04819277108433735,0.1327874294566781,0,protonmail,personal_domain,0,1,0,0
106,520.0,1,16,4,12,6,42.3,1,2,1,0,5,2,6,3,3,0,0,70.0,72.9,3,0,1,17,0,0,0.25,0.4018912529550828,1,verizon,professional_domain,0,0,1,0
107,1300.0,1,41,6,4,2,78.3,1,0,0,1,6,1,48,0,1,0,0,80.0,86.4,3,0,2,18,0,0,0.14634146341463414,0.2298850574712644,0,cisco,professional_domain,0,0,1,0
108,6228.0,1,301,6,6,6,172.0,1,0,0,1,6,2,6,1,0,1,0,90.0,264.9,8,1,4,10,1110,0,0.019933554817275743,0.05813953488372092,1,aol,junk_domain,0,1,0,0
109,1140.0,1,51,4,2,3,82.46,1,2,0,1,5,2,6,5,2,0,0,70.0,103.9,4,0,2,15,0,0,0.0784313725490196,0.1819063788503517,1,caterpillar,professional_domain,0,1,0,0
110,1220.0,1,45,4,4,2,101.19,1,2,0,0,5,2,14,2,4,1,0,70.0,90.0,3,0,2,18,31,0,0.08888888888888889,0.17788319003854136,1,protonmail,personal_domain,0,0,0,1
111,2080.0,1,55,9,6,4,142.07,1,4,0,1,6,2,7,0,1,0,0,90.0,198.2,4,1,3,14,242,0,0.16363636363636366,0.09854297177447738,1,yahoo,personal_domain,0,1,0,0
112,2130.0,1,88,5,8,4,88.17,1,1,0,1,5,1,7,0,3,1,0,80.0,177.5,5,1,3,13,137,0,0.05681818181818181,0.14744244073948054,1,chevron,professional_domain,0,1,0,0
114,1790.0,1,68,6,7,9,91.5,1,0,0,0,6,1,12,0,0,0,0,90.0,134.9,4,0,3,15,108,0,0.08823529411764706,0.16393442622950818,1,amex,professional_domain,0,1,0,0
115,1900.0,1,79,2,7,5,75.87,1,1,0,1,6,2,15,2,0,0,0,90.0,150.0,4,0,3,12,210,0,0.02531645569620253,0.15816528272044286,0,merck,professional_domain,0,1,0,0
116,550.0,1,16,2,11,7,111.4,1,0,1,0,5,2,45,0,0,1,0,70.0,108.6,3,0,3,11,0,0,0.125,0.09874326750448832,0,protonmail,personal_domain,0,0,1,0
117,1774.0,1,72,6,7,8,111.16,1,3,0,1,5,1,13,0,0,0,0,80.0,135.6,4,1,3,12,0,0,0.08333333333333333,0.10795250089960418,1,passport,junk_domain,0,1,0,0
118,3327.0,1,85,4,7,5,78.76,1,2,0,1,5,2,34,8,2,1,0,70.0,278.7,6,2,5,8,23,0,0.047058823529411764,0.1015744032503809,0,protonmail,personal_domain,0,0,1,0
121,650.0,1,15,7,11,8,128.05,1,2,0,1,6,2,1,0,7,0,0,80.0,158.8,4,0,1,17,0,0,0.4666666666666667,0.13276064037485355,1,gmail,personal_domain,0,1,0,0
122,1837.5,1,12,1,12,3,53.2,1,1,0,1,6,1,22,0,5,0,0,90.0,87.5,3,0,2,17,0,0,0.08333333333333333,0.31954887218045114,0,boeing,professional_domain,0,0,1,0
123,3526.5,1,102,4,10,10,108.78,1,5,0,1,5,1,3,1,0,0,0,70.0,287.2,7,1,3,13,337,0,0.0392156862745098,0.11950726236440523,1,gmail,personal_domain,0,1,0,0
125,1150.0,1,78,3,4,9,68.5,1,2,0,1,5,2,12,9,1,0,0,80.0,154.0,5,0,2,15,0,0,0.038461538461538464,0.21897810218978106,1,unitedtech,professional_domain,0,1,0,0
126,1299.0,1,39,2,5,7,61.2,1,0,0,1,6,2,36,0,5,0,0,70.0,177.4,6,2,3,13,0,0,0.05128205128205128,0.2124183006535948,0,yahoo,personal_domain,0,0,1,0
127,3000.0,1,56,4,7,5,118.64,1,2,0,0,6,2,8,0,1,0,0,90.0,161.1,4,0,4,10,0,0,0.07142857142857142,0.08428860418071478,1,apple,professional_domain,0,1,0,0
128,890.0,1,14,9,11,10,50.8,1,4,0,0,5,2,2,0,2,0,0,80.0,136.1,4,0,2,16,0,0,0.6428571428571429,0.31496062992125984,1,verizon,professional_domain,0,1,0,0
129,1979.0,1,55,3,7,2,179.71,1,1,0,1,5,2,2,0,3,1,0,70.0,172.4,5,1,3,15,359,0,0.054545454545454536,0.08346780924823326,1,ibm,professional_domain,0,1,0,0
130,1255.0,1,32,6,7,9,57.73,1,1,1,0,5,2,2,8,4,1,1,90.0,90.2,4,0,2,15,75,0,0.1875,0.2598302442404296,1,gmail,personal_domain,0,1,0,0
131,1662.5,1,14,1,11,4,112.15,1,2,0,1,6,2,14,3,3,1,0,80.0,169.9,5,0,3,13,0,0,0.07142857142857142,0.11591618368256798,1,passport,junk_domain,0,0,1,0
132,1730.0,1,60,8,9,2,210.74,1,1,1,0,6,2,9,8,1,1,1,80.0,140.5,4,1,3,11,163,0,0.13333333333333333,0.05219702002467496,1,gmail,personal_domain,0,1,0,0
133,1325.0,1,29,2,7,3,63.0,1,1,0,1,6,2,12,0,1,0,0,70.0,141.2,4,1,2,18,0,0,0.06896551724137931,0.2857142857142857,1,exxon,professional_domain,0,0,1,0
134,1660.75,1,15,1,11,10,17.96,1,5,0,0,6,1,5,3,2,1,0,90.0,98.8,2,1,2,16,0,0,0.06666666666666668,0.8908685968819599,1,yahoo,personal_domain,0,0,0,1
135,780.0,1,15,9,12,8,65.56,1,0,0,1,5,1,21,0,5,1,0,90.0,89.9,3,0,2,17,0,0,0.6,0.2593044539353264,0,chevron,professional_domain,0,0,1,0
137,2098.25,1,28,1,4,7,58.0,1,0,0,1,4,2,9,0,1,0,0,80.0,86.4,3,0,2,16,0,0,0.03571428571428571,0.27586206896551724,1,gmail,personal_domain,0,0,0,1
139,1550.0,1,75,6,5,10,100.5,1,0,0,1,5,2,2,9,3,0,0,80.0,99.0,3,0,3,14,0,0,0.08,0.13930348258706468,1,gmail,personal_domain,0,1,0,0
141,3933.0,1,246,7,10,5,146.63,0,5,0,0,5,2,4,0,0,0,0,80.0,164.1,5,0,4,12,406,0,0.028455284552845524,0.08183864147855145,1,msn,junk_domain,0,1,0,0
142,1654.0,1,40,3,7,10,60.31,1,0,0,1,5,2,13,0,3,0,0,80.0,165.6,5,1,3,12,92,0,0.075,0.1989719781130824,1,gmail,personal_domain,0,0,0,1
144,1490.0,1,39,9,5,4,63.76,1,2,0,1,5,2,6,0,2,1,1,70.0,193.0,6,0,2,17,0,0,0.2307692307692308,0.266624843161857,1,gmail,personal_domain,0,1,0,0
145,1050.0,1,13,6,12,3,93.6,1,3,0,1,6,2,43,3,0,0,0,90.0,125.8,4,0,2,14,0,0,0.4615384615384616,0.14957264957264954,0,amex,professional_domain,0,0,1,0
146,1060.0,1,14,2,11,10,26.16,1,1,0,1,6,1,13,0,8,0,0,90.0,130.2,4,0,3,15,304,0,0.14285714285714285,0.5733944954128439,1,mcdonalds,professional_domain,0,0,1,0
147,2482.5,1,165,8,8,1,89.55,1,1,0,0,5,2,1,6,6,1,1,80.0,206.0,6,1,3,14,298,0,0.048484848484848485,0.15633724176437744,1,chevron,professional_domain,0,1,0,0
149,1800.0,1,42,7,8,7,137.5,1,4,0,1,6,2,13,0,3,1,0,80.0,179.0,4,2,3,13,360,0,0.16666666666666666,0.09454545454545454,1,yahoo,personal_domain,0,0,0,1
151,1395.0,1,67,7,5,7,84.42,1,0,0,1,5,1,7,8,5,0,0,90.0,162.7,8,0,3,13,0,0,0.1044776119402985,0.15399194503672115,1,ge,for_proft_domain,0,1,0,0
152,1690.0,1,36,7,6,2,94.38,0,4,0,1,5,1,46,0,3,0,0,90.0,244.7,8,1,2,16,0,0,0.19444444444444445,0.169527442254715,0,jnj,professional_domain,0,0,1,0
153,1390.0,1,35,2,7,2,92.0,1,1,0,1,6,2,1,0,2,1,0,80.0,182.4,6,0,1,18,0,0,0.057142857142857134,0.1956521739130435,1,exxon,professional_domain,0,1,0,0
154,1280.0,1,27,6,3,3,62.0,1,4,1,1,5,1,4,0,2,0,0,80.0,132.4,4,0,2,15,0,0,0.2222222222222222,0.2419354838709677,1,gmail,personal_domain,0,1,0,0
155,1800.0,1,138,5,8,2,31.98,1,4,1,1,7,0,12,6,3,1,0,90.0,151.2,2,0,3,12,513,0,0.036231884057971016,0.37523452157598497,1,intel,professional_domain,0,1,0,0
156,1810.0,1,142,6,5,3,245.82,0,0,0,1,6,2,38,0,3,1,0,80.0,167.5,5,1,3,12,0,0,0.04225352112676056,0.0488162069807176,0,yahoo,personal_domain,0,0,0,1
158,1530.0,1,67,2,6,8,79.03,1,2,0,1,5,1,6,0,1,0,0,80.0,103.4,4,1,3,12,40,0,0.02985074626865672,0.15184107301024927,1,me,junk_domain,0,1,0,0
159,1150.0,1,24,2,6,5,17.33,1,4,0,1,5,1,3,0,5,0,0,80.0,103.2,3,1,3,13,0,0,0.08333333333333333,0.7501442585112522,1,protonmail,personal_domain,0,1,0,0
160,850.0,1,13,4,11,10,83.77,1,0,0,1,6,2,6,0,0,1,0,80.0,79.6,2,0,1,19,0,0,0.3076923076923077,0.22681150769965386,1,amex,professional_domain,0,0,1,0
163,1660.0,1,79,4,4,10,84.29,1,1,0,0,5,2,25,0,2,0,0,80.0,150.4,4,0,3,11,22,0,0.05063291139240506,0.13050183888954794,0,ge,for_proft_domain,0,0,0,1
